code_with_bug,flag,label,fixed_code
"int *ptr = NULL; *ptr = 42;",Null dereference,Confirmed,"int value = 42; int *ptr = &value; *ptr = 42;"
"char buf[10]; strcpy(buf, input);",Null dereference,Confirmed,"char buf[10]; strncpy(buf, input, 10);"
"int a = 5; if(a = 10) {}",Invalid comparisons,False Positive,"int a = 5; if(a == 10) {}"
"int *arr = (int*)malloc(10 * sizeof(int)); delete arr;",Allocation mismatches,Confirmed,"int *arr = (int*)malloc(10 * sizeof(int)); free(arr);"
"FILE *f = fopen(""file.txt"", ""r""); if(f == NULL) exit(1);",Null dereference,Confirmed,"FILE *f = fopen(""file.txt"", ""r""); if(f == NULL) { exit(1); }"
"void func() { char buf[5]; gets(buf); }",Null dereference,Confirmed,"void func() { char buf[5]; fgets(buf, sizeof(buf), stdin); }"
"if (userInput != null) { System.out.println(userInput); }",Null dereference,False Positive,"if (userInput != null) { System.out.println(userInput); }"
"System.out.println(""Hello, world!"");",Invalid comparisons,False Positive,"System.out.println(""Hello, world!"");"
"char buffer[8]; memcpy(buffer, data, 20);",Allocation mismatches,Confirmed,"char buffer[20]; memcpy(buffer, data, 20);"
"if (x > 0) { doSomething(); }",Invalid comparisons,Pending,"if (x > 0) { doSomething(); }"
"int *p = malloc(10); if(p) { free(p); }",Allocation mismatches,False Positive,"int *p = malloc(10); if(p) { free(p); }"
"int *p = malloc(10); // forgot to free",Allocation mismatches,Confirmed,"int *p = malloc(10); free(p);"
"int a = 0; if(a = 1){}",Invalid comparisons,Confirmed,"int a = 0; if(a == 1){}"
"char *p = NULL; printf(""%d"", *p);",Null dereference,Confirmed,"int val = 0; char *p = &val; printf(""%d"", *p);"
"int *p = NULL; if(p) { *p = 10; }",Null dereference,False Positive,"int val = 10; int *p = &val; if(p) { *p = 10; }"
"int *arr = malloc(5 * sizeof(int)); arr[5] = 10;",Allocation mismatches,Confirmed,"int *arr = malloc(6 * sizeof(int)); arr[5] = 10; free(arr);"
"if(a = b) { foo(); }",Invalid comparisons,Confirmed,"if(a == b) { foo(); }"
"int *p = malloc(10); if(!p) return; free(p);",Allocation mismatches,False Positive,"int *p = malloc(10); if(!p) return; free(p);"
"char *buf = malloc(10); strcpy(buf, src);",Null dereference,Confirmed,"char *buf = malloc(10); strncpy(buf, src, 10); free(buf);"
"int a = 0; if(a = 1) { printf(""yes""); }",Invalid comparisons,Confirmed,"int a = 0; if(a == 1) { printf(""yes""); }"
